DATETIME,IN_X,IN_Y,IN_Z,OUT_X,OUT_Y,OUT_Z
1978-12-30 17:45:41,3547.4840659760384,0.0,6219.401643377449,6519.055446814247,0.0,-2647.113915448576
1978-12-31 17:53:40,3794.124304820309,0.0,5887.328490883773,6478.50886305381,0.0,-3329.501300695529
1979-01-01 18:01:37,3723.9049447883804,0.0,5982.703482722561,6418.593716856889,0.0,-347.61860986613493
1979-01-03 18:17:24,3224.0339999420107,0.0,6639.635966468186,6476.040552241872,0.0,-3116.707840930681
1979-01-04 18:22:26,6051.0,0.0,3.7051688908203173e-13,6513.1189115611,0.0,-2724.496658809689
1979-01-05 18:27:21,3079.3418302178948,0.0,6851.846312686114,6269.5784241887995,0.0,-4951.414685011375
1979-01-06 18:32:15,6051.0,0.0,3.7051688908203173e-13,6505.596588623808,0.0,-2937.3894917232665
1979-01-07 18:37:09,2523.935314320064,0.0,7721.989803744115,6364.490401508306,0.0,-4390.567836750577
1979-01-08 18:42:02,3955.816569002299,0.0,5670.530069791261,6205.524394847982,0.0,-5318.777677713799
1979-01-09 18:46:54,2832.173600028604,0.0,7226.855242724944,6157.5678043354665,0.0,-5583.341538452693
1979-01-10 18:51:47,6051.0,0.0,3.7051688908203173e-13,6331.294610001621,0.0,-4667.832962024715
1979-01-11 18:56:33,3959.971716567622,0.0,5655.425713771199,6455.258761410241,0.0,-3607.7221793309295
1979-01-12 19:00:55,4811.862744966128,0.0,4332.6206761736075,6220.340832268688,0.0,-5238.013357219595
1979-01-14 19:09:34,6051.0,0.0,3.7051688908203173e-13,6411.461771069557,0.0,-4084.551622652556
1979-01-15 19:13:53,5400.280872003087,0.0,3219.213491441283,6475.797058948984,0.0,-749.2752840629967
1979-01-16 19:18:12,5134.569086205294,0.0,3771.715962129827,6430.288115138612,0.0,-3986.947548727863
1979-01-17 19:22:23,3733.8111357871617,0.0,5975.346885518177,6495.003706181598,0.0,-3097.9578526324904
1979-01-18 19:25:56,6051.0,0.0,3.7051688908203173e-13,5767.840684509169,0.0,-7148.163319211502
1979-01-19 19:29:28,4025.6787192620163,0.0,5581.7412022845465,6395.98240139705,0.0,-4169.488472345165
1979-01-21 19:36:30,4833.666381943679,0.0,4321.796537097449,6546.017904286655,0.0,-2114.3061738448732
1979-01-22 19:40:02,3532.362536723172,0.0,6294.5960084150465,6532.822944951969,0.0,-2773.0188188883762
1979-01-23 19:43:34,5667.254798480949,0.0,2618.6393507114835,6502.676418029544,0.0,-3385.0790836260326
1979-01-24 19:46:53,3728.6608898008813,0.0,5990.344227911222,5960.391928604286,0.0,-6414.145621782288
1979-01-25 19:49:20,6051.0,0.0,3.7051688908203173e-13,6278.167605207549,0.0,-4922.712211872892
1979-01-26 19:51:45,4411.611453574082,0.0,5003.9909455047955,6003.768152257897,0.0,-6282.58449795415
1979-01-27 19:54:10,4580.577294806628,0.0,4743.326643433066,6514.412738205173,0.0,-2968.7889241760154
1979-01-29 19:58:58,3956.492687844367,0.0,5713.901085163626,6529.590457584168,0.0,-1376.0005291517102
1979-01-30 20:01:23,3557.2677981874467,0.0,6287.449547469835,6506.058030697542,0.0,-3286.4463940852615
1979-01-31 20:03:34,3241.5060714767187,0.0,6675.618277626393,5594.409593271098,0.0,-7785.444772311747
1979-02-01 20:04:31,2679.467659069479,0.0,7566.583248996916,6051.0,0.0,3.7051688908203173e-13
1979-02-02 20:05:24,3143.613996205501,0.0,6834.707019533527,6181.401290466887,0.0,-5430.49372398259
1979-02-03 20:06:15,6051.0,0.0,3.7051688908203173e-13,6207.359456344402,0.0,-5358.048952718865
1979-02-04 20:07:05,3585.123824309547,0.0,6234.721418344856,6051.0,0.0,3.7051688908203173e-13
1979-02-06 20:08:47,3719.6672822128394,0.0,6069.945330036783,6010.712154957859,0.0,-6333.969007679296
