   91  79064  19:20:13     68849  19:07:29   69.4 22.8  1876.  110.8         0  00:00:00    0.0  0.0     0.    0.0
   92  79065  19:16:41     69169  19:12:49   37.4  1.4   343.  138.7     69675  19:21:15   -5.3  2.4   414.  143.8
   93  79066  19:13:08     68577  19:02:57   62.8  0.1  1324.  118.2     69779  19:22:59  -28.0  3.0  1255.  128.4
   94  79067  19:09:34     68408  19:00:08   60.4  0.5  1175.  120.3     69545  19:19:05  -26.7  3.0  1190.  128.1
   95  79068  19:05:59     68424  19:00:24   45.4  1.5   541.  131.4     69417  19:16:57  -32.0  3.3  1487.  123.1
   96  79069  19:02:23     68066  18:54:26   55.1  1.1   905.  124.0     69035  19:10:35  -21.5  3.1   945.  129.0
   97  79070  18:58:47     67764  18:49:24   60.2  0.8  1167.  119.7     68966  19:09:26  -31.0  3.5  1422.  121.5
   98  79071  18:55:09     67535  18:45:35   60.9  0.9  1205.  118.9     68632  19:03:52  -23.6  3.4  1039.  125.1
   99  79072  18:51:31     67425  18:43:45   54.4  1.5   873.  123.2     68485  19:01:25  -28.2  3.6  1269.  120.9
  100  79073  18:56:09     67426  18:43:46   68.7  0.0  1803.  111.7     69009  19:10:09  -41.7  4.1  2175.  110.6
  101  79074  19:00:46     67989  18:53:09   53.9  1.7   851.  122.4     69103  19:11:43  -32.0  3.9  1485.  116.1
  102  79075  19:05:23     68351  18:59:11   48.0  2.1   629.  124.9     69009  19:10:09   -6.4  3.5   443.  127.9
  103  79076  19:09:58     68576  19:02:56   51.5  2.1   756.  122.4     69650  19:20:50  -31.8  4.1  1467.  113.8
  104  79077  19:14:33     68704  19:05:04   60.7  1.5  1190.  116.8     69717  19:21:57  -18.3  3.9   811.  119.8
  105  79078  19:19:07     68856  19:07:36   66.7  0.9  1612.  112.4     70173  19:29:33  -30.2  4.3  1376.  112.2
  106  79079  19:23:41     69210  19:13:30   62.9  1.5  1328.  114.6     70365  19:32:45  -25.2  4.3  1107.  113.6
  107  79080  19:28:13     69498  19:18:18   62.1  1.7  1275.  114.6         0  00:00:00    0.0  0.0     0.    0.0
  108  79081  19:32:45     69977  19:26:17   49.2  2.7   667.  119.4     71263  19:47:43  -44.6  5.0  2409.  100.7
  109  79082  19:37:16     70288  19:31:28   46.3  2.9   571.  119.3     71172  19:46:12  -24.7  4.6  1081.  109.8
  110  79083  19:41:45     70270  19:31:10   64.2  1.8  1411.  112.1     71563  19:52:43  -32.2  4.8  1486.  104.9
  111  79084  19:46:14     70416  19:33:36   69.5  1.1  1857.  108.9     71904  19:58:24  -36.3  5.1  1750.  101.7
  112  79085  19:50:41     70709  19:38:29   68.6  1.4  1761.  109.2     72076  20:01:16  -30.9  5.0  1405.  103.0
  113  79086  19:55:08     71209  19:46:49   56.7  2.8   968.  113.1     72326  20:05:26  -29.9  5.1  1347.  102.2
  114  79087  19:59:34     71441  19:50:41   58.7  2.8  1070.  111.8     72538  20:08:58  -26.6  5.1  1168.  102.2
  115  79088  20:03:58     71745  19:55:45   56.3  3.1   950.  111.7         0  00:00:00    0.0  0.0     0.    0.0
  116  79089  20:08:21     71675  19:54:35   71.9  1.0  2122.  106.4     72985  20:16:25  -21.2  5.2   918.  101.5
  117  79090  20:12:44     72478  20:07:58   41.7  4.0   437.  111.4     73129  20:18:49  -12.6  5.1   605.  102.8
  118  79091  20:17:04     72498  20:08:18   58.4  3.3  1049.  109.0     73545  20:25:45  -23.7  5.5  1028.   97.8
  119  79092  20:21:24     72549  20:09:09   68.8  2.1  1768.  106.5     73792  20:29:52  -22.9  5.6   989.   96.6
  120  79093  20:25:41     72779  20:12:59   69.9  2.0  1872.  105.8     74034  20:33:54  -21.8  5.6   942.   95.5
  121  79094  20:29:57     73008  20:16:48   70.7  1.9  1973.  105.3     74349  20:39:09  -25.9  5.8  1126.   92.9
  122  79095  20:34:11     73464  20:24:24   61.9  3.4  1241.  105.8     74582  20:43:02  -24.4  5.9  1058.   91.9
  123  79096  20:38:23     73731  20:28:51   61.1  3.6  1191.  105.1     74876  20:47:56  -27.2  6.1  1192.   89.8
  124  79097  20:42:32     74204  20:36:44   46.5  4.5   564.  103.6     74929  20:48:49  -13.5  5.9   628.   91.9
  125  79098  20:46:38     74238  20:37:18   60.5  3.8  1152.  103.6     75439  20:57:19  -31.3  6.4  1421.   86.1
  126  79099  20:50:40     74596  20:43:16   53.3  4.4   804.  102.2     75490  20:58:10  -18.9  6.2   818.   87.6
  127  79100  20:54:39     74579  20:42:59   67.5  3.2  1635.  102.7     75930  21:05:30  -32.0  6.6  1457.   83.3
  128  79101  20:58:33     75015  20:50:15   56.8  4.4   959.  100.8     75960  21:06:00  -18.6  6.4   808.   84.8
  129  79102  21:02:24     75377  20:56:17   48.0  5.0   607.   98.3     76194  21:09:54  -18.8  6.5   816.   83.2
  130  79103  21:06:12     75555  20:59:15   51.5  5.0   731.   97.9     76491  21:14:51  -23.6  6.7  1019.   80.9
  131  79104  21:09:54     75792  21:03:12   50.4  5.1   691.   96.7     76629  21:17:09  -17.8  6.7   777.   80.5
  132  79105  21:13:27     75950  21:05:50   54.2  5.0   841.   96.6     76817  21:20:17  -15.9  6.8   709.   79.4
  133  79106  21:16:54     76283  21:11:23   45.3  5.5   525.   93.1     76989  21:23:09  -13.3  6.8   622.   78.3
