OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
124.9,1681.0
128.2,1216.0
130.7,858.0
131.6,1033.0
131.9,1246.0
134.7,513.0
0.0,0.0
124.4,2974.0
136.0,1700.0
139.5,1451.0
0.0,0.0
135.6,2066.0
148.5,1124.0
138.0,1945.0
142.1,1678.0
138.2,2001.0
140.9,1833.0
126.4,3076.0
135.3,2288.0
166.4,631.0
149.3,1422.0
130.4,2692.0
137.5,2133.0
142.5,1810.0
129.8,2696.0
140.3,1920.0
137.9,2057.0
140.3,1893.0
137.6,2038.0
136.7,2070.0
146.2,1505.0
140.4,1783.0
129.8,2461.0
125.2,2794.0
0.0,0.0
128.3,2438.0
123.1,2822.0
0.0,0.0
137.7,1657.0
146.4,1167.0
129.5,2082.0
129.2,2046.0
125.5,2256.0
132.7,1679.0
116.4,2931.0
133.6,1494.0
123.7,2115.0
124.0,2018.0
136.3,1125.0
131.0,1281.0
120.8,1941.0
127.7,1327.0
0.0,0.0
117.5,1937.0
0.0,0.0
128.7,914.0
114.0,1950.0
105.0,2852.0
115.3,1603.0
125.6,736.0
116.3,1282.0
119.7,912.0
110.5,1576.0
113.0,1214.0
120.6,536.0
107.4,1346.0
117.1,537.0
116.9,588.0
106.2,1043.0
105.9,929.0
99.0,1543.0
100.7,1157.0
94.7,1810.0
101.6,770.0
97.5,1021.0
97.9,820.0
94.5,1029.0
94.0,909.0
93.7,783.0
88.8,1210.0
94.1,551.0
87.5,967.0
84.6,1200.0
81.0,1779.0
84.2,800.0
80.9,1074.0
80.8,848.0
0.0,0.0
78.7,729.0
74.5,1223.0
72.2,1790.0
72.9,879.0
72.5,721.0
69.7,922.0
67.9,997.0
67.2,811.0
66.8,674.0
67.5,556.0
64.8,599.0
60.4,1187.0
59.1,945.0
58.5,722.0
57.5,583.0
53.2,906.0
49.6,683.0
50.4,577.0
0.0,0.0
44.0,1422.0
42.7,802.0
43.9,782.0
56.4,761.0
56.7,718.0
74.1,1086.0
71.9,804.0
82.4,1154.0
87.8,1694.0
87.7,1239.0
87.6,1041.0
91.0,1284.0
90.0,960.0
97.0,1619.0
92.9,802.0
97.4,1097.0
100.3,1366.0
100.5,1099.0
104.4,1825.0
102.1,891.0
106.6,1564.0
106.5,1057.0
