DATETIME,OUTBOUND_ALTITUDE
1979-11-11 05:27:31,0.0
1979-11-13 05:39:03,0.0
1979-11-14 05:44:46,0.0
1979-11-16 05:56:03,1408.0
1979-11-17 06:01:36,0.0
1979-11-18 06:07:05,911.0
1979-11-19 06:12:31,1814.0
1979-11-20 06:17:53,1416.0
1979-11-21 06:23:11,1424.0
1979-11-22 06:28:24,1001.0
1979-11-23 06:33:31,786.0
1979-11-24 06:38:32,1752.0
1979-11-25 06:43:26,703.0
1979-11-26 06:48:11,724.0
1979-11-27 06:52:46,1067.0
1979-11-28 06:57:10,0.0
1979-11-29 07:01:22,1675.0
1979-11-30 07:05:23,975.0
1979-12-01 07:09:13,1763.0
1979-12-02 07:12:48,1116.0
1979-12-03 07:16:12,1894.0
1979-12-04 07:19:25,2174.0
1979-12-05 07:22:29,1922.0
1979-12-06 07:25:23,1226.0
1979-12-07 07:28:09,1045.0
1979-12-08 07:30:49,1018.0
1979-12-09 07:33:23,976.0
1979-12-10 07:35:53,1607.0
1979-12-11 07:38:19,1303.0
1979-12-12 07:40:35,638.0
1979-12-13 07:41:58,883.0
1979-12-14 07:43:06,971.0
1979-12-15 07:44:02,451.0
1979-12-16 07:44:49,695.0
1979-12-17 07:45:30,508.0
1979-12-18 07:46:07,469.0
1979-12-19 07:46:36,492.0
1979-12-20 07:46:11,492.0
1979-12-21 07:45:37,682.0
1979-12-22 07:44:54,684.0
1979-12-23 07:44:06,493.0
1979-12-24 07:43:13,454.0
1979-12-25 07:42:18,475.0
1979-12-26 07:41:21,312.0
1979-12-27 07:40:22,673.0
1979-12-28 07:39:09,859.0
1979-12-29 07:36:41,488.0
1979-12-30 07:33:59,536.0
1979-12-31 07:31:10,585.0
1980-01-01 07:28:14,478.0
1980-01-02 07:25:16,549.0
1980-01-03 07:22:14,657.0
1980-01-04 07:18:59,576.0
1980-01-05 07:14:31,416.0
1980-01-06 07:09:51,735.0
1980-01-07 07:05:03,499.0
1980-01-08 07:00:10,636.0
1980-01-09 06:55:07,938.0
1980-01-09 06:55:07,938.0
1980-01-10 07:01:16,867.0
1980-01-11 07:07:15,366.0
1980-01-12 07:13:07,307.0
1980-01-13 07:18:54,350.0
1980-01-14 07:24:37,563.0
1980-01-16 07:35:47,406.0
1980-01-17 07:39:57,362.0
1980-01-18 07:43:55,387.0
1980-01-19 07:47:42,425.0
1980-01-20 07:51:24,316.0
1980-01-21 07:55:02,332.0
1980-01-22 07:58:36,350.0
1980-01-23 08:01:57,417.0
1980-01-24 08:03:53,379.0
1980-01-25 08:05:23,312.0
1980-01-26 08:06:38,331.0
1980-01-27 08:07:41,912.0
1980-01-28 08:08:35,686.0
1980-01-29 08:09:21,805.0
1980-01-30 08:09:54,1646.0
1980-01-31 08:09:37,2858.0
1980-02-01 08:09:01,410.0
1980-02-02 08:08:10,511.0
1980-02-03 08:07:09,475.0
1980-02-04 08:05:58,534.0
1980-02-05 08:04:40,388.0
1980-02-06 08:03:21,830.0
1980-02-07 08:08:13,312.0
1980-02-08 08:13:07,326.0
1980-02-09 08:17:55,517.0
1980-02-10 08:22:39,693.0
1980-02-11 08:27:19,559.0
1980-02-12 08:31:55,346.0
1980-02-13 08:36:27,365.0
1980-02-15 08:45:21,487.0
1980-02-16 08:49:43,462.0
1980-02-17 08:54:01,535.0
1980-02-18 08:58:15,519.0
1980-02-19 09:02:26,481.0
1980-02-20 09:06:34,549.0
1980-02-21 09:10:38,539.0
1980-02-22 09:14:38,1215.0
1980-02-23 09:18:35,1307.0
1980-02-24 09:22:27,852.0
1980-02-25 09:26:14,1037.0
1980-02-26 09:29:57,1028.0
1980-02-27 09:33:35,620.0
1980-02-28 09:37:08,772.0
1980-02-29 09:40:36,1144.0
1980-03-01 09:43:59,1745.0
1980-03-02 09:47:15,871.0
1980-03-03 09:50:26,1287.0
1980-03-04 09:53:31,1074.0
1980-03-05 09:56:29,1333.0
1980-03-06 09:59:24,1758.0
1980-03-07 10:02:08,1039.0
1980-03-08 10:04:49,1218.0
1980-03-09 10:07:24,1061.0
1980-03-10 10:09:53,932.0
1980-03-11 10:12:15,635.0
1980-03-12 10:14:32,743.0
1980-03-13 10:16:44,957.0
1980-03-14 10:18:50,766.0
1980-03-15 10:20:53,1561.0
1980-03-16 10:22:51,975.0
1980-03-17 10:24:46,732.0
1980-03-18 10:26:38,1559.0
1980-03-19 10:28:28,705.0
1980-03-20 10:30:16,1001.0
1980-03-21 10:32:04,724.0
1980-03-22 10:33:50,1272.0
1980-03-23 10:35:35,1896.0
1980-03-24 10:37:19,1531.0
1980-03-25 10:39:04,1013.0
1980-03-26 10:40:47,981.0
1980-03-27 10:42:31,1032.0
1980-03-28 10:44:14,2534.0
1980-03-29 10:45:58,1550.0
1980-03-30 10:47:42,1340.0
1980-03-31 10:49:26,1850.0
1980-04-01 10:51:10,2273.0
1980-04-02 10:52:43,793.0
1980-04-03 10:53:41,1860.0
1980-04-04 10:54:37,1224.0
1980-04-05 10:55:33,855.0
1980-04-06 10:56:28,1073.0
1980-04-07 10:57:24,878.0
1980-04-08 10:58:19,1442.0
1980-04-09 10:59:04,1284.0
1980-04-10 10:59:05,1565.0
1980-04-11 10:59:00,2060.0
1980-04-12 10:58:53,2834.0
1980-04-13 10:58:46,1871.0
1980-04-14 10:58:38,1661.0
1980-04-15 10:58:31,1551.0
1980-04-16 10:58:11,1409.0
1980-04-17 10:56:58,1249.0
1980-04-18 10:55:38,2792.0
1980-04-19 10:54:17,2344.0
1980-04-20 10:52:56,2433.0
1980-04-21 10:51:34,2126.0
1980-04-22 10:50:13,1621.0
1980-04-23 10:48:38,3487.0
1980-04-24 10:46:02,1914.0
1980-04-25 10:43:25,2403.0
1980-04-26 10:40:46,2604.0
1980-04-27 10:38:07,1568.0
1980-04-28 10:35:27,3180.0
1980-04-29 10:32:47,3677.0
1980-04-30 10:29:52,3337.0
1980-05-01 10:26:04,862.0
1980-05-02 10:22:12,1714.0
1980-05-03 10:18:18,2121.0
1980-05-04 10:14:25,2122.0
1980-05-05 10:10:31,2672.0
1980-05-07 10:02:30,2242.0
1980-05-08 09:57:35,1799.0
1980-05-09 09:52:39,1636.0
1980-05-10 09:47:41,2444.0
1980-05-11 09:42:43,2288.0
1980-05-12 09:37:43,1363.0
1980-05-13 09:32:43,1865.0
1980-05-14 09:27:31,2327.0
1980-05-15 09:28:45,2125.0
1980-05-16 09:29:51,2939.0
1980-05-17 09:30:55,1376.0
1980-05-18 09:31:57,2578.0
1980-05-19 09:32:57,2617.0
