INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_ALTITUDE
96.2,412.0
99.1,1107.0
100.8,1896.0
96.0,859.0
99.5,1822.0
95.8,1136.0
96.7,1468.0
93.3,1031.0
95.4,1493.0
89.0,754.0
93.9,1476.0
86.9,757.0
88.4,999.0
90.1,1277.0
88.7,1217.0
89.1,1356.0
82.5,830.0
92.5,1930.0
87.8,1462.0
84.3,1205.0
85.6,1473.0
72.8,636.0
67.2,437.0
81.9,1359.0
77.3,1087.0
83.5,1621.0
70.2,784.0
66.5,658.0
75.0,1168.0
74.6,1195.0
66.8,823.0
58.3,522.0
65.5,853.0
55.6,515.0
65.5,947.0
52.8,501.0
54.5,592.0
64.1,1013.0
52.2,588.0
42.9,385.0
48.5,546.0
58.5,918.0
43.4,473.0
58.7,999.0
48.7,670.0
52.3,815.0
36.6,428.0
40.8,535.0
33.5,412.0
0.0,0.0
54.7,1049.0
42.4,656.0
24.1,347.0
26.2,377.0
31.0,454.0
40.4,668.0
0.0,0.0
34.8,556.0
18.6,343.0
22.1,372.0
29.9,480.0
23.8,382.0
35.1,581.0
22.4,355.0
36.3,546.0
31.0,395.0
30.9,371.0
33.2,394.0
34.0,382.0
38.9,498.0
0.0,0.0
48.8,859.0
44.4,600.0
41.9,439.0
45.3,544.0
48.8,679.0
50.7,740.0
0.0,0.0
48.2,424.0
52.5,557.0
53.6,552.0
54.4,495.0
62.8,1328.0
61.0,1008.0
60.5,817.0
61.2,758.0
61.1,378.0
0.0,0.0
65.3,588.0
0.0,0.0
67.9,637.0
71.5,859.0
73.8,821.0
74.6,1423.0
76.4,1284.0
80.3,503.0
82.3,769.0
85.5,665.0
83.6,1121.0
83.6,1293.0
0.0,0.0
85.7,1261.0
86.9,1232.0
87.8,1240.0
86.1,1612.0
89.0,1323.0
101.4,443.0
91.3,1279.0
99.6,670.0
95.8,1037.0
0.0,0.0
113.8,355.0
107.9,710.0
99.2,1333.0
85.8,2863.0
97.9,1582.0
99.3,1535.0
120.8,485.0
0.0,0.0
126.0,543.0
127.5,541.0
125.4,636.0
114.4,1113.0
126.2,726.0
112.2,1424.0
126.4,836.0
139.3,535.0
155.4,471.0
132.8,739.0
127.9,924.0
114.1,1583.0
129.2,944.0
131.5,929.0
122.7,1297.0
114.4,1753.0
144.8,657.0
116.9,1679.0
0.0,0.0
136.2,925.0
119.0,1656.0
113.2,2029.0
106.2,2560.0
114.8,1986.0
168.1,506.0
109.4,2419.0
129.6,1278.0
136.6,1026.0
119.7,1806.0
138.6,973.0
121.2,1750.0
116.8,2036.0
135.2,1097.0
124.9,1572.0
124.3,1608.0
124.0,1629.0
132.8,1183.0
123.3,1673.0
0.0,0.0
132.9,1141.0
141.7,770.0
124.1,1591.0
145.5,593.0
120.1,1833.0
111.9,2548.0
124.4,1472.0
109.8,2774.0
112.0,2516.0
118.3,1875.0
124.5,1313.0
124.3,1278.0
110.5,2644.0
115.2,2054.0
121.2,1363.0
126.8,754.0
123.7,945.0
118.8,1388.0
123.7,667.0
119.8,885.0
113.4,1768.0
107.9,2744.0
114.3,1334.0
110.7,1942.0
114.2,642.0
112.5,1027.0
108.8,1963.0
109.6,1433.0
109.2,985.0
108.0,1262.0
106.7,1406.0
105.3,800.0
0.0,0.0
102.7,784.0
103.6,1812.0
97.1,543.0
102.2,1888.0
100.2,1326.0
100.3,1691.0
96.0,914.0
98.0,1493.0
96.5,1380.0
95.2,1308.0
0.0,0.0
90.2,942.0
98.2,2520.0
88.1,972.0
83.8,742.0
87.2,1108.0
86.3,1124.0
82.4,905.0
79.9,825.0
0.0,0.0
76.0,752.0
83.5,1351.0
83.6,1445.0
75.5,935.0
67.2,676.0
76.3,1200.0
61.0,666.0
68.7,1018.0
59.4,742.0
79.2,1952.0
41.1,729.0
44.1,826.0
54.8,714.0
56.1,822.0
66.1,1005.0
67.8,760.0
73.0,854.0
73.5,1130.0
75.5,1397.0
77.4,1076.0
78.1,1232.0
81.0,905.0
81.8,1191.0
85.0,923.0
82.6,1483.0
82.1,1855.0
85.4,1361.0
90.2,944.0
95.3,737.0
92.0,1018.0
97.1,782.0
94.5,1028.0
93.7,1209.0
103.3,732.0
109.6,711.0
101.2,1017.0
101.3,1098.0
108.7,799.0
100.8,1304.0
100.8,1388.0
118.2,719.0
116.3,763.0
121.1,724.0
113.9,932.0
120.1,784.0
116.5,937.0
112.3,1178.0
105.7,1637.0
111.9,1324.0
114.9,1230.0
111.5,1520.0
113.6,1462.0
0.0,0.0
121.3,1203.0
137.8,794.0
133.4,902.0
135.9,878.0
123.8,1284.0
122.3,1391.0
138.8,906.0
112.9,1968.0
121.2,1567.0
0.0,0.0
118.4,1787.0
133.3,1204.0
134.8,1189.0
129.7,1392.0
124.7,1630.0
139.6,1131.0
138.2,1194.0
126.9,1625.0
121.0,1943.0
134.1,1393.0
123.0,1894.0
130.9,1560.0
132.8,1503.0
