DATETIME,INBOUND_ALTITUDE,OUTBOUND_ALTITUDE
1979-07-26 22:06:17,684.0,732.0
1979-07-27 22:08:17,993.0,786.0
1979-07-28 22:10:08,986.0,1344.0
1979-07-29 22:11:50,728.0,628.0
1979-07-30 22:13:26,860.0,733.0
1979-07-31 22:14:55,1068.0,1182.0
1979-08-01 22:16:16,929.0,740.0
1979-08-02 22:17:32,1368.0,941.0
1979-08-03 22:18:42,1099.0,752.0
1979-08-04 22:19:47,1517.0,907.0
1979-08-05 22:20:48,1230.0,1033.0
1979-08-06 22:21:47,1182.0,1336.0
1979-08-07 22:22:41,1473.0,1263.0
1979-08-08 22:23:34,922.0,737.0
1979-08-09 22:24:22,975.0,965.0
1979-09-13 22:49:17,867.0,0.0
1979-09-15 22:45:33,1139.0,761.0
1979-09-17 23:07:11,333.0,2618.0
1979-09-21 23:47:03,653.0,2754.0
1979-09-24 00:05:37,0.0,4440.0
1979-09-25 00:14:55,772.0,0.0
1979-09-27 00:33:13,1522.0,0.0
1979-09-28 00:41:21,735.0,1508.0
1979-09-30 00:57:31,777.0,0.0
1979-10-01 01:05:34,407.0,388.0
1979-10-02 01:13:37,686.0,598.0
1979-10-04 01:29:30,1634.0,2241.0
1979-10-05 01:36:30,602.0,3002.0
1979-10-07 01:50:18,1288.0,1015.0
1979-10-08 01:57:10,1504.0,1002.0
1979-10-09 02:04:01,1413.0,2773.0
1979-10-11 02:17:35,1534.0,1915.0
1979-10-12 02:23:59,923.0,2313.0
1979-10-13 02:30:23,0.0,3180.0
1979-10-16 02:49:24,1321.0,2503.0
1979-10-18 03:01:58,1270.0,465.0
1979-10-19 03:08:14,826.0,1651.0
1979-10-20 03:14:28,2050.0,1870.0
1979-10-21 03:20:41,1167.0,2182.0
1979-10-22 03:26:53,1280.0,2250.0
1979-10-23 03:33:04,1748.0,1603.0
1979-10-24 03:39:14,1562.0,1890.0
1979-10-25 03:45:24,745.0,857.0
1979-10-26 03:51:32,330.0,839.0
1979-10-29 04:09:53,1384.0,0.0
1979-10-30 04:15:58,0.0,2025.0
1979-11-01 04:28:06,364.0,924.0
1979-11-02 04:34:07,836.0,2126.0
1979-11-05 04:52:07,2017.0,0.0
1979-11-06 04:58:05,1579.0,1508.0
1979-11-07 05:04:01,909.0,875.0
1979-11-08 05:09:56,1892.0,923.0
1979-11-09 05:15:50,1263.0,912.0
1979-11-10 05:21:42,2408.0,0.0
1979-11-11 05:27:31,782.0,0.0
1979-11-13 05:39:03,1283.0,0.0
1979-11-14 05:44:46,970.0,0.0
1979-11-16 05:56:03,1872.0,1408.0
1979-11-17 06:01:36,967.0,0.0
1979-11-18 06:07:05,700.0,911.0
1979-11-19 06:12:31,1355.0,1814.0
1979-11-20 06:17:53,917.0,1416.0
1979-11-21 06:23:11,1591.0,1424.0
1979-11-22 06:28:24,672.0,1001.0
1979-11-23 06:33:31,393.0,786.0
1979-11-24 06:38:32,752.0,1752.0
1979-11-25 06:43:26,0.0,703.0
1979-11-26 06:48:11,1083.0,724.0
1979-11-27 06:52:46,1259.0,1067.0
1979-11-28 06:57:10,1212.0,0.0
1979-11-29 07:01:22,1950.0,1675.0
1979-11-30 07:05:23,1267.0,975.0
1979-12-01 07:09:13,1864.0,1763.0
1979-12-02 07:12:48,1522.0,1116.0
1979-12-03 07:16:12,1595.0,1894.0
1979-12-04 07:19:25,2829.0,2174.0
1979-12-05 07:22:29,2054.0,1922.0
1979-12-06 07:25:23,1376.0,1226.0
1979-12-07 07:28:09,855.0,1045.0
1979-12-08 07:30:49,1215.0,1018.0
1979-12-09 07:33:23,1287.0,976.0
1979-12-10 07:35:53,1817.0,1607.0
1979-12-11 07:38:19,1311.0,1303.0
1979-12-12 07:40:35,893.0,638.0
1979-12-13 07:41:58,1498.0,883.0
1979-12-14 07:43:06,1072.0,971.0
1979-12-15 07:44:02,530.0,451.0
1979-12-16 07:44:49,1121.0,695.0
1979-12-17 07:45:30,717.0,508.0
