OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
97.8,-30.7
96.6,-26.6
92.3,-35.2
88.6,-42.7
91.9,-28.7
91.0,-27.0
89.5,-27.4
0.0,0.0
87.4,-24.9
86.4,-23.5
85.4,-21.1
84.7,-17.7
84.5,-11.6
81.0,-21.9
79.2,-24.0
78.4,-20.3
76.6,-22.3
74.9,-24.3
75.1,-12.9
72.5,-20.4
70.3,-29.8
69.9,-17.7
67.8,-33.4
67.4,-13.8
65.2,-23.2
64.0,-31.2
62.5,-18.5
61.8,-34.4
59.7,-15.7
59.6,-34.5
57.3,-27.7
55.3,-18.3
53.5,-27.3
50.9,-11.6
49.6,-8.0
50.5,-30.1
47.8,-24.4
45.5,-18.9
44.0,-18.4
41.8,-8.1
40.3,-7.3
38.8,-8.6
37.5,-3.6
35.8,-9.0
34.2,-7.8
33.0,-1.6
31.3,-9.3
30.1,0.5
28.2,-2.3
28.3,-14.1
25.1,-1.4
24.4,3.3
21.9,-2.5
23.2,-13.3
18.8,-1.0
18.7,-8.5
17.2,-8.0
16.0,-8.0
13.6,4.3
11.1,0.5
9.6,1.5
9.7,6.0
12.8,-9.5
5.9,-1.6
4.0,4.0
0.0,0.0
1.0,3.6
6.2,-2.8
3.4,5.2
4.4,4.0
14.7,16.1
11.1,8.4
19.2,20.1
17.1,14.0
16.8,7.1
18.4,8.4
31.2,-7.5
28.6,2.6
29.3,13.0
30.9,7.5
34.5,-1.2
33.8,11.8
35.5,8.8
42.0,-7.8
38.9,7.4
40.0,12.3
45.1,-4.1
46.9,35.2
54.2,-17.6
47.3,5.0
48.3,8.0
56.2,-8.7
56.0,-3.4
54.5,9.6
67.3,-23.8
62.7,-9.3
65.2,-11.8
0.0,0.0
62.9,7.2
72.6,-19.4
69.8,-1.4
74.0,-10.5
76.1,-12.0
82.8,-19.2
86.7,-22.1
90.0,-28.8
92.5,-27.8
87.6,-1.8
97.2,-23.6
100.0,-22.8
100.3,-16.4
102.8,-22.4
104.1,-21.0
0.0,0.0
106.7,-17.7
