DATETIME,INBOUND_LATITUDE,OUTBOUND_LATITUDE
1979-07-28 22:10:08,56.6,-30.6
1979-07-29 22:11:50,50.6,-14.0
1979-07-30 22:13:26,53.9,-17.2
1979-07-31 22:14:55,58.3,-27.6
1979-08-01 22:16:16,55.5,-17.4
1979-08-02 22:17:32,63.4,-22.5
1979-08-03 22:18:42,58.9,-17.8
1979-08-04 22:19:47,65.5,-21.7
1979-08-05 22:20:48,61.3,-24.5
1979-08-06 22:21:47,60.4,-30.4
1979-08-07 22:22:41,65.0,-29.1
1979-08-08 22:23:34,55.4,-17.2
1979-08-09 22:24:22,56.5,-22.9
1979-09-13 22:49:17,53.4,0.0
1979-09-15 22:45:33,58.5,-17.0
1979-09-17 23:07:11,34.0,-46.8
1979-09-21 23:47:03,47.9,-48.6
1979-09-24 00:05:37,0.0,-61.2
1979-09-25 00:14:55,50.6,0.0
1979-09-27 00:33:13,64.7,0.0
1979-09-28 00:41:21,50.2,-33.4
1979-09-30 00:57:31,51.1,0.0
1979-10-01 01:05:34,39.1,-4.9
1979-10-02 01:13:37,48.5,-12.9
1979-10-04 01:29:30,66.0,-43.6
1979-10-05 01:36:30,46.6,-51.3
1979-10-07 01:50:18,61.2,-24.4
1979-10-08 01:57:10,64.3,-24.0
1979-10-09 02:04:01,63.0,-49.1
1979-10-11 02:17:35,64.7,-39.6
1979-10-12 02:23:59,54.5,-44.5
1979-10-13 02:30:23,0.0,-52.9
1979-10-16 02:49:24,61.6,-46.5
1979-10-18 03:01:58,60.8,41.3
1979-10-19 03:08:14,52.1,-35.8
1979-10-20 03:14:28,70.0,-39.0
1979-10-21 03:20:41,59.0,-43.0
1979-10-22 03:26:53,60.9,-43.8
1979-10-23 03:33:04,67.2,-35.1
1979-10-24 03:39:14,65.0,-39.3
1979-10-25 03:45:24,50.0,-20.7
1979-10-26 03:51:32,35.1,-20.2
1979-10-29 04:09:53,62.6,0.0
1979-10-30 04:15:58,0.0,-41.1
1979-11-01 04:28:06,36.8,-22.4
1979-11-02 04:34:07,52.4,-42.5
1979-11-05 04:52:07,70.1,0.0
1979-11-06 04:58:05,65.5,-33.9
1979-11-07 05:04:01,54.2,-21.4
1979-11-08 05:09:56,69.0,-22.6
1979-11-09 05:15:50,61.0,-22.3
1979-11-10 05:21:42,72.9,0.0
1979-11-11 05:27:31,51.3,0.0
1979-11-13 05:39:03,61.4,0.0
1979-11-14 05:44:46,55.7,0.0
1979-11-16 05:56:03,69.0,-32.4
1979-11-17 06:01:36,55.7,0.0
1979-11-18 06:07:05,49.4,-22.5
1979-11-19 06:12:31,62.7,-38.7
1979-11-20 06:17:53,54.7,-32.6
1979-11-21 06:23:11,66.0,-32.7
1979-11-22 06:28:24,48.7,-24.6
1979-11-23 06:33:31,39.0,-19.4
1979-11-24 06:38:32,50.9,-37.8
1979-11-25 06:43:26,0.0,-17.1
1979-11-26 06:48:11,58.1,-17.7
1979-11-27 06:52:46,61.2,-26.0
1979-11-28 06:57:10,60.5,0.0
1979-11-29 07:01:22,69.9,-36.6
1979-11-30 07:05:23,61.3,-23.9
1979-12-01 07:09:13,69.0,-37.9
1979-12-02 07:12:48,65.1,-26.9
1979-12-03 07:16:12,66.0,-39.7
1979-12-04 07:19:25,74.5,-43.2
1979-12-05 07:22:29,70.7,-39.9
1979-12-06 07:25:23,62.9,-28.9
1979-12-07 07:28:09,53.1,-25.2
1979-12-08 07:30:49,60.3,-24.5
1979-12-09 07:33:23,61.4,-23.6
1979-12-10 07:35:53,68.3,-35.2
1979-12-11 07:38:19,61.7,-30.1
1979-12-12 07:40:35,54.2,-15.0
1979-12-13 07:41:58,64.6,-21.6
1979-12-14 07:43:06,57.7,-23.6
1979-12-15 07:44:02,44.0,-8.1
1979-12-16 07:44:49,58.5,-16.4
1979-12-17 07:45:30,49.4,-10.1
1979-12-18 07:46:07,47.7,-8.5
1979-12-19 07:46:36,56.7,-10.0
1979-12-20 07:46:11,46.6,-9.9
1979-12-21 07:45:37,55.8,-16.0
1979-12-22 07:44:54,60.5,-16.0
1979-12-23 07:44:06,47.1,-9.4
1979-12-24 07:43:13,53.1,-7.7
1979-12-25 07:42:18,38.6,-8.4
1979-12-26 07:41:21,51.8,-0.2
1979-12-27 07:40:22,60.0,-15.0
1979-12-28 07:39:09,64.0,-21.0
1979-12-29 07:36:41,44.5,-9.6
1979-12-30 07:33:59,54.2,-11.3
1979-12-31 07:31:10,48.2,-12.8
1980-01-01 07:28:14,53.4,-8.7
1980-01-02 07:25:16,60.1,-11.2
1980-01-03 07:22:14,58.6,-14.6
1980-01-04 07:18:59,57.5,-13.0
1980-01-05 07:14:31,46.0,-6.7
1980-01-06 07:09:51,60.2,-17.5
1980-01-07 07:05:03,51.5,-9.7
1980-01-08 07:00:10,60.0,-14.3
1980-01-09 06:55:07,59.1,-22.9
1980-01-09 06:55:07,59.1,-22.9
1980-01-10 07:01:16,62.1,-21.1
1980-01-11 07:07:15,36.7,-4.3
1980-01-12 07:13:07,42.5,-0.8
1980-01-13 07:18:54,39.2,-3.0
1980-01-14 07:24:37,37.6,-11.8
1980-01-16 07:35:47,40.2,-6.7
1980-01-17 07:39:57,40.0,-4.4
1980-01-18 07:43:55,38.5,-5.5
1980-01-19 07:47:42,46.5,-7.0
1980-01-20 07:51:24,43.4,-1.4
1980-01-21 07:55:02,39.3,-2.1
1980-01-22 07:58:36,47.2,-2.9
1980-01-23 08:01:57,32.9,-7.4
1980-01-24 08:03:53,50.3,-5.6
1980-01-25 08:05:23,39.0,-2.0
1980-01-26 08:06:38,46.0,-2.9
1980-01-27 08:07:41,58.1,-22.4
1980-01-28 08:08:35,53.6,-16.4
1980-01-29 08:09:21,59.0,-19.6
1980-01-30 08:09:54,66.5,-36.3
1980-01-31 08:09:37,73.4,-50.6
1980-02-01 08:09:01,49.2,-7.0
1980-02-02 08:08:10,45.6,-10.9
1980-02-03 08:07:09,45.8,-9.5
1980-02-04 08:05:58,50.3,-11.7
1980-02-05 08:04:40,45.9,-5.7
1980-02-06 08:03:21,52.0,-20.5
1980-02-07 08:08:13,39.9,-1.6
1980-02-08 08:13:07,37.2,-2.4
1980-02-09 08:17:55,46.5,-10.9
1980-02-10 08:22:39,51.5,-16.7
1980-02-11 08:27:19,46.1,-12.4
1980-02-12 08:31:55,34.7,-3.3
1980-02-13 08:36:27,0.0,-4.3
1980-02-15 08:45:21,46.2,-9.7
1980-02-16 08:49:43,49.4,-8.8
1980-02-17 08:54:01,48.1,-11.6
1980-02-18 08:58:15,47.2,-11.0
1980-02-19 09:02:26,43.9,-9.6
1980-02-20 09:06:34,47.7,-12.1
1980-02-21 09:10:38,48.4,-11.8
1980-02-22 09:14:38,56.6,-29.1
1980-02-23 09:18:35,62.6,-30.9
1980-02-24 09:22:27,49.0,-21.2
1980-02-25 09:26:14,52.7,-25.6
1980-02-26 09:29:57,48.4,-25.4
1980-02-27 09:33:35,51.3,-14.7
1980-02-28 09:37:08,45.1,-19.2
1980-02-29 09:40:36,55.1,-27.9
1980-03-01 09:43:59,63.8,-38.1
1980-03-02 09:47:15,50.9,-21.9
1980-03-03 09:50:26,54.1,-30.7
1980-03-04 09:53:31,48.6,-26.5
1980-03-05 09:56:29,55.1,-31.6
1980-03-06 09:59:24,62.2,-38.3
1980-03-07 10:02:08,42.5,-25.9
1980-03-08 10:04:49,58.5,-29.5
1980-03-09 10:07:24,59.5,-26.3
1980-03-10 10:09:53,51.1,-23.5
1980-03-11 10:12:15,43.3,-15.5
1980-03-12 10:14:32,49.3,-18.7
1980-03-13 10:16:44,54.1,-24.1
1980-03-14 10:18:50,46.2,-19.3
1980-03-15 10:20:53,50.0,-35.5
1980-03-16 10:22:51,56.7,-24.5
1980-03-17 10:24:46,52.1,-18.4
1980-03-18 10:26:38,0.0,-35.4
1980-03-19 10:28:28,53.4,-17.6
1980-03-20 10:30:16,55.8,-25.0
1980-03-21 10:32:04,63.5,-18.1
1980-03-22 10:33:50,64.9,-30.5
1980-03-23 10:35:35,60.0,-40.3
1980-03-24 10:37:19,65.3,-34.9
1980-03-25 10:39:04,61.8,-25.1
1980-03-26 10:40:47,59.0,-24.4
1980-03-27 10:42:31,51.2,-25.5
1980-03-28 10:44:14,60.7,-47.7
1980-03-29 10:45:58,57.6,-35.0
1980-03-30 10:47:42,64.7,-31.4
1980-03-31 10:49:26,56.0,-39.3
1980-04-01 10:51:10,67.2,-44.7
1980-04-02 10:52:43,57.2,-20.1
1980-04-03 10:53:41,63.8,-39.7
1980-04-04 10:54:37,67.8,-29.5
1980-04-05 10:55:33,62.2,-21.4
1980-04-06 10:56:28,61.5,-26.3
1980-04-07 10:57:24,52.8,-21.8
1980-04-08 10:58:19,46.7,-33.1
1980-04-09 10:59:04,66.9,-30.8
1980-04-10 10:59:05,67.0,-35.4
1980-04-11 10:59:00,61.7,-42.3
1980-04-12 10:58:53,58.7,-50.7
1980-04-13 10:58:46,55.3,-39.7
1980-04-14 10:58:38,0.0,-36.6
1980-04-15 10:58:31,54.3,-34.8
1980-04-16 10:58:11,55.8,-33.1
1980-04-17 10:56:58,59.9,-30.1
1980-04-18 10:55:38,66.8,-50.3
1980-04-19 10:54:17,62.6,-45.6
1980-04-20 10:52:56,0.0,-46.5
1980-04-21 10:51:34,51.6,-42.9
1980-04-22 10:50:13,57.1,-35.9
1980-04-23 10:48:38,65.2,-56.3
1980-04-24 10:46:02,63.8,-40.5
1980-04-25 10:43:25,57.0,-46.3
1980-04-26 10:40:46,52.7,-48.4
1980-04-27 10:38:07,54.0,-35.3
1980-04-28 10:35:27,56.6,-53.6
1980-04-29 10:32:47,61.7,-57.4
1980-04-30 10:29:52,-36.8,-55.1
1980-05-01 10:26:04,54.5,-22.0
1980-05-02 10:22:12,66.3,-37.7
1980-05-03 10:18:18,56.9,-43.1
1980-05-04 10:14:25,61.7,-43.0
1980-05-05 10:10:31,52.8,-49.0
1980-05-07 10:02:30,62.6,-44.8
1980-05-08 09:57:35,62.1,-39.1
1980-05-09 09:52:39,55.8,-36.7
1980-05-10 09:47:41,56.3,-46.9
1980-05-11 09:42:43,65.2,-45.1
1980-05-12 09:37:43,69.3,-32.1
1980-05-13 09:32:43,64.6,-39.8
1980-05-14 09:27:31,69.7,-45.9
1980-05-15 09:28:45,71.0,-43.5
1980-05-16 09:29:51,68.6,-51.9
1980-05-17 09:30:55,68.0,-32.7
1980-05-18 09:31:57,58.5,-48.4
1980-05-19 09:32:57,62.4,-48.8
1980-05-20 09:33:56,56.6,-53.0
1980-05-21 09:34:52,54.0,-53.5
1980-05-22 09:41:10,56.3,-48.6
1980-05-23 09:47:28,61.5,-47.0
1980-05-25 10:00:00,62.6,-51.6
1980-05-26 10:06:14,57.2,-55.0
1980-05-27 10:12:28,73.1,-30.9
1980-05-28 10:18:41,67.8,-45.7
1980-05-29 10:24:53,57.2,-20.5
1980-05-30 10:31:05,62.3,0.0
1980-05-31 10:37:15,57.1,-33.9
1980-06-01 10:43:25,61.1,-38.2
1980-06-02 10:49:34,66.0,-34.0
1980-06-03 10:55:42,60.9,-39.9
1980-06-04 11:01:50,62.1,-36.0
1980-06-05 11:07:56,52.6,-24.1
1980-06-06 11:14:02,67.9,-24.4
1980-06-07 11:20:07,60.5,-32.2
1980-06-08 11:26:11,62.3,-35.7
1980-06-09 11:32:14,66.9,-33.1
1980-06-10 11:38:16,47.9,-16.7
1980-06-11 11:44:18,68.5,-19.8
1980-06-12 11:50:19,69.4,-48.0
1980-06-13 11:56:18,72.6,-33.2
1980-06-14 12:02:17,61.2,-21.4
1980-06-15 12:08:15,70.9,-37.8
1980-06-16 12:14:12,66.0,0.0
1980-06-17 12:20:08,56.9,-33.6
1980-06-18 12:26:03,53.7,-39.4
1980-06-19 12:31:57,51.3,-31.0
1980-06-20 12:37:50,58.1,-42.2
